ticker,matched_market_date,sentiment_mean,close,daily_return,article_count,ai_innovation,collaboration,leadership,regulation,litigation
AAPL,2022-02-01,0.2044,174.61,-0.001,1,1,0,0,0,0
AAPL,2022-02-07,0.3083,171.66,-0.0042,1,0,0,1,0,0
AAPL,2022-02-17,0.4916,168.88,-0.0213,1,0,0,0,1,0
AAPL,2022-04-14,0.3375,165.29,-0.03,1,0,1,0,0,0
AAPL,2022-04-28,0.2964,163.64,0.0452,1,1,0,0,0,0
AAPL,2022-05-03,0.1701,159.48,0.0096,1,0,0,1,0,0
AAPL,2022-05-10,0.031,154.51,0.0161,2,1,0,0,0,1
AAPL,2022-05-12,0.2838,142.56,-0.0269,1,0,0,0,0,0
AAPL,2022-05-20,-0.112,137.59,0.0017,1,0,0,0,0,0
AAPL,2022-06-03,0.31074999999999997,145.38,-0.0386,2,0,1,0,0,0
AAPL,2022-06-15,0.3488,135.43,0.0201,1,0,0,0,1,0
AAPL,2022-07-19,-0.2364,151.0,0.0267,1,0,1,0,0,0
AAPL,2022-07-21,0.3483,155.35,0.0151,1,0,1,0,0,0
AAPL,2022-07-25,0.1661,152.95,-0.0074,1,0,0,0,0,1
AAPL,2022-07-26,0.5954,151.6,-0.0088,1,0,0,0,0,1
AAPL,2022-08-05,0.3567,165.35,-0.0014,1,0,0,1,0,0
AAPL,2022-08-24,-0.249,167.53,0.0018,1,0,0,0,1,0
AAPL,2022-09-07,0.1985,155.96,0.0093,1,0,0,0,0,0
AAPL,2022-09-08,0.3495,154.46,-0.0096,1,0,1,0,0,0
AAPL,2022-09-09,0.0814,157.37,0.0188,2,1,1,0,0,0
AAPL,2022-09-15,0.313,152.37,-0.0189,1,1,0,0,0,0
AAPL,2022-09-16,0.3482,150.7,-0.011,1,1,0,0,0,0
AAPL,2022-09-28,0.423,149.84,-0.0127,1,0,0,0,0,0
AAPL,2022-10-04,-0.1585,146.1,0.0256,1,0,0,0,0,0
AAPL,2022-10-24,0.2926,149.45,0.0148,1,1,0,0,0,0
AAPL,2022-11-15,0.2461,150.04,0.0119,1,0,1,0,0,0
AAPL,2022-11-22,0.338,150.18,0.0147,1,0,0,0,0,1
AAPL,2022-11-28,0.3494,144.22,-0.0263,1,1,0,0,0,0
AAPL,2022-12-16,-0.2266,134.51,-0.0146,1,0,1,0,0,0
AAPL,2023-01-05,0.2635,125.02,-0.0106,1,0,0,0,0,0
AAPL,2023-01-12,0.2001,133.41,-0.0006,1,0,0,0,0,0
AAPL,2023-01-13,0.4049,134.76,0.0101,1,0,1,0,0,0
AAPL,2023-02-07,0.1765,154.65,0.0192,1,0,0,1,0,0
AAPL,2023-02-23,-0.1044,149.4,0.0033,1,0,0,1,0,0
AAPL,2023-03-03,0.1963,151.03,0.0351,1,0,0,1,0,0
AAPL,2023-03-10,-0.0863,148.5,-0.0139,1,0,0,0,0,0
AAPL,2023-03-21,0.3437,159.28,0.0119,1,0,0,0,0,0
AAPL,2023-03-28,0.3615,157.65,-0.004,1,0,1,0,0,0
AAPL,2023-04-10,0.34465,162.03,-0.016,2,0,1,0,0,0
AAPL,2023-04-18,0.1915,166.47,0.0075,1,0,0,1,0,0
AAPL,2023-04-24,0.3445,165.33,0.0019,1,0,1,0,0,0
AAPL,2023-05-02,0.0988,168.54,-0.0062,1,0,0,0,0,0
AAPL,2023-05-05,0.5627,173.57,0.0469,2,0,1,1,0,0
AAPL,2023-05-16,0.4298,172.07,,1,1,0,0,0,0
